quarter_id,year,quarter_num,quarter_start_date,underemployment_change_qoq,underemployment_rate,unemployment_rate,employment_rate,lfpr,underemployment_change_yoy,gdp_growth_yoy,gdp_growth_yoy_accel,gdp_level,gdp_growth_qoq,cpi_index,inflation_yoy,inflation_yoy_accel,growth_employment_gap,gdp_growth_yoy_lag1,gdp_growth_yoy_accel_lag1,inflation_yoy_lag1,inflation_yoy_accel_lag1,naive_forecast_change_pp
2012Q4,2012,4,2012-10-01,-3.798,19.008,6.834,93.166,63.873,-0.139,7.8,0.4,3.37837e+06,13.4053,86.0756,2.9718,-0.492,7.661,7.4,1.2,3.4637,0.5267,0
2013Q1,2013,1,2013-01-01,1.903,20.911,7.086,92.914,64.083,2.113,7.6,-0.2,3.12978e+06,-7.3584,86.5587,2.8359,-0.1358,9.713,7.8,0.4,2.9718,-0.492,0
2013Q2,2013,2,2013-04-01,-1.738,19.173,7.547,92.453,63.826,-0.153,7.5,-0.1,3.38683e+06,8.2131,86.9565,2.3411,-0.4948,7.347,7.6,-0.2,2.8359,-0.1358,0
2013Q3,2013,3,2013-07-01,0.055,19.228,7.292,92.708,63.872,-3.578,6.7,-0.8,3.17888e+06,-6.1398,87.7238,2.1509,-0.1902,3.122,7.5,-0.1,2.3411,-0.4948,0
2013Q4,2013,4,2013-10-01,-1.165,18.063,6.4,93.6,63.917,-0.945,5.4,-1.3,3.55916e+06,11.9624,88.6616,3.0043,0.8534,4.455,6.7,-0.8,2.1509,-0.1902,0
2014Q1,2014,1,2014-01-01,1.442,19.505,7.538,92.462,63.757,-1.406,5.7,0.3,3.30814e+06,-7.0528,89.713,3.6441,0.6398,4.294,5.4,-1.3,3.0043,0.8534,0
2014Q2,2014,2,2014-04-01,-1.33,18.175,7.031,92.969,65.214,-0.998,6.9,1.2,3.62176e+06,9.4803,90.2813,3.8235,0.1794,5.902,5.7,0.3,3.6441,0.6398,0
2014Q3,2014,3,2014-07-01,0.157,18.332,6.738,93.262,64.352,-0.896,5.9,-1,3.36755e+06,-7.0188,91.3043,4.0816,0.2581,5.004,6.9,1.2,3.8235,0.1794,0
2014Q4,2014,4,2014-10-01,0.409,18.741,6.007,93.993,64.303,0.678,6.7,0.8,3.7986e+06,12.8,91.1907,2.8526,-1.2291,7.378,5.9,-1,4.0816,0.2581,0
2015Q1,2015,1,2015-01-01,-0.846,17.895,6.566,93.434,63.731,-1.61,5.2,-1.5,3.4818e+06,-8.34,91.077,1.5204,-1.3321,3.59,6.7,0.8,2.8526,-1.2291,0
2015Q2,2015,2,2015-04-01,-0.062,17.833,6.409,93.591,64.566,-0.342,6.4,1.2,3.8535e+06,10.6757,91.1623,0.9758,-0.5447,6.058,5.2,-1.5,1.5204,-1.3321,0
2015Q3,2015,3,2015-07-01,3.149,20.982,6.5,93.5,62.901,2.65,6.6,0.2,3.58939e+06,-6.8539,91.2475,-0.0622,-1.038,9.25,6.4,1.2,0.9758,-0.5447,0
2015Q4,2015,4,2015-10-01,-3.332,17.65,5.625,94.375,63.26,-1.091,7,0.4,4.06622e+06,13.2845,91.4464,0.2805,0.3427,5.909,6.6,0.2,-0.0622,-1.038,0
2016Q1,2016,1,2016-01-01,1.95,19.6,5.69,94.31,63.551,1.705,6.9,-0.1,3.72269e+06,-8.4484,91.6169,0.5928,0.3124,8.605,7,0.4,0.2805,0.3427,0
2016Q2,2016,2,2016-04-01,-1.327,18.273,6.064,93.936,63.505,0.44,7.4,0.5,4.14019e+06,11.215,92.0432,0.9663,0.3735,7.84,6.9,-0.1,0.5928,0.3124,0
2016Q3,2016,3,2016-07-01,-0.852,17.421,5.388,94.612,63.244,-3.561,7.3,-0.1,3.85248e+06,-6.949,92.5547,1.4326,0.4662,3.739,7.4,0.5,0.9663,0.3735,0
2016Q4,2016,4,2016-10-01,0.595,18.016,4.665,95.335,63.606,0.366,6.9,-0.4,4.34732e+06,12.8446,93.2935,2.0199,0.5873,7.266,7.3,-0.1,1.4326,0.4662,0
2017Q1,2017,1,2017-01-01,-1.756,16.26,6.558,93.442,60.664,-3.34,6.4,-0.5,3.95998e+06,-8.9099,94.2597,2.8846,0.8647,3.06,6.9,-0.4,2.0199,0.5873,0
2017Q2,2017,2,2017-04-01,-0.198,16.062,5.719,94.281,61.366,-2.211,7.2,0.8,4.43733e+06,12.0545,94.6576,2.8404,-0.0442,4.989,6.4,-0.5,2.8846,0.8647,0
2017Q3,2017,3,2017-07-01,0.221,16.283,5.578,94.422,60.636,-1.138,7.5,0.3,4.14264e+06,-6.6413,95.027,2.6712,-0.1692,6.362,7.2,0.8,2.8404,-0.0442,0
2017Q4,2017,4,2017-10-01,-0.36,15.923,4.997,95.003,62.136,-2.093,6.6,-0.9,4.63603e+06,11.9102,96.1068,3.0155,0.3444,4.507,7.5,0.3,2.6712,-0.1692,0
2018Q1,2018,1,2018-01-01,2.033,17.956,5.264,94.736,62.168,1.696,6.5,-0.1,4.21558e+06,-9.0693,97.8333,3.7912,0.7757,8.196,6.6,-0.9,3.0155,0.3444,0
2018Q2,2018,2,2018-04-01,-0.998,16.958,5.457,94.543,60.913,0.896,6.4,-0.1,4.72038e+06,11.9748,99.0667,4.6579,0.8667,7.296,6.5,-0.1,3.7912,0.7757,0
2018Q3,2018,3,2018-07-01,0.269,17.227,5.42,94.58,60.059,0.944,6.1,-0.3,4.39724e+06,-6.8457,101.133,6.4259,1.768,7.044,6.4,-0.1,4.6579,0.8667,0
2018Q4,2018,4,2018-10-01,-3.914,13.313,5.062,94.938,60.553,-2.61,6.4,0.3,4.93199e+06,12.161,101.9,6.0278,-0.3981,3.79,6.1,-0.3,6.4259,1.768,0
2019Q1,2019,1,2019-01-01,2.105,15.418,5.29,94.71,60.238,-2.538,5.9,-0.5,4.46319e+06,-9.5054,101.6,3.8501,-2.1777,3.362,6.4,0.3,6.0278,-0.3981,0
2019Q2,2019,2,2019-04-01,-2.091,13.327,5.151,94.849,61.34,-3.631,5.6,-0.3,4.98592e+06,11.7122,102.1,3.0619,-0.7882,1.969,5.9,-0.5,3.8501,-2.1777,0
2019Q3,2019,3,2019-07-01,0.31,13.637,5.421,94.579,62.059,-3.59,6.3,0.7,4.67554e+06,-6.2251,102.5,1.3514,-1.7106,2.71,5.6,-0.3,3.0619,-0.7882,0
2019Q4,2019,4,2019-10-01,-0.853,12.784,4.588,95.412,61.405,-0.529,6.6,0.3,5.2581e+06,12.4596,103.3,1.3739,0.0225,6.071,6.3,0.7,1.3514,-1.7106,0
2020Q1,2020,1,2020-01-01,2.022,14.806,5.322,94.678,61.688,-0.612,-0.7,-7.3,4.43381e+06,-15.6766,104.167,2.5262,1.1524,-1.312,6.6,0.3,1.3739,0.0225,0
2020Q2,2020,2,2020-04-01,4.106,18.912,17.605,82.395,55.693,5.585,-16.9,-16.2,4.14294e+06,-6.5601,104,1.8609,-0.6653,-11.315,-0.7,-7.3,2.5262,1.1524,0
2020Q3,2020,3,2020-07-01,-1.634,17.278,9.961,90.039,61.937,3.641,-11.6,5.3,4.1355e+06,-0.1797,104.867,2.3089,0.448,-7.959,-16.9,-16.2,1.8609,-0.6653,0
2020Q4,2020,4,2020-10-01,-2.851,14.427,8.735,91.265,58.742,1.643,-8.2,3.4,4.8256e+06,16.6872,106.267,2.8719,0.563,-6.557,-11.6,5.3,2.3089,0.448,0
2021Q1,2021,1,2021-01-01,1.546,15.973,8.767,91.233,60.498,1.167,-3.8,4.4,4.2668e+06,-11.5799,108.367,4.032,1.1601,-2.633,-8.2,3.4,2.8719,0.563,0
2021Q2,2021,2,2021-04-01,1.251,17.224,8.728,91.272,63.234,-1.688,12,15.8,4.64182e+06,8.7895,108.167,4.0064,-0.0256,10.312,-3.8,4.4,4.032,1.1601,0
2021Q3,2021,3,2021-07-01,3.819,21.043,7.192,92.808,59.412,3.765,7,-5,4.42663e+06,-4.636,109.167,4.1004,0.094,10.765,12,15.8,4.0064,-0.0256,0
2021Q4,2021,4,2021-10-01,-4.97,16.073,7.404,92.596,62.627,1.646,7.9,0.9,5.20483e+06,17.58,110.067,3.5759,-0.5245,9.546,7,-5,4.1004,0.094,0
2022Q1,2022,1,2022-01-01,-1.207,14.866,6.388,93.612,60.535,-1.107,8.1,0.2,4.61122e+06,-11.405,112,3.3528,-0.2231,6.993,7.9,0.9,3.5759,-0.5245,0
2022Q2,2022,2,2022-04-01,-0.843,14.023,5.71,94.29,63.364,-3.201,7.5,-0.6,4.99093e+06,8.2346,114.067,5.4545,2.1017,4.299,8.1,0.2,3.3528,-0.2231,0
2022Q3,2022,3,2022-07-01,-0.217,13.806,5.205,94.795,65.232,-7.237,7.7,0.2,4.76755e+06,-4.4758,116.3,6.5344,1.0798,0.463,7.5,-0.6,5.4545,2.1017,0
2022Q4,2022,4,2022-10-01,0.356,14.162,4.543,95.457,64.14,-1.911,7.1,-0.6,5.5759e+06,16.9553,118.767,7.9043,1.3699,5.189,7.7,0.2,6.5344,1.0798,0
2023Q1,2023,1,2023-01-01,-0.109,14.053,4.782,95.218,64.497,-0.813,6.4,-0.7,4.90701e+06,-11.9961,121.3,8.3036,0.3993,5.587,7.1,-0.6,7.9043,1.3699,0
2023Q2,2023,2,2023-04-01,-1.144,12.909,4.484,95.516,65.123,-1.114,4.3,-2.1,5.20346e+06,6.0412,120.967,6.0491,-2.2545,3.186,6.4,-0.7,8.3036,0.3993,0
2023Q3,2023,3,2023-07-01,2.956,15.865,4.886,95.114,60.035,2.059,6,1.7,5.0514e+06,-2.9223,122.533,5.3597,-0.6894,8.059,4.3,-2.1,6.0491,-2.2545,0
2023Q4,2023,4,2023-10-01,-4.153,11.712,4.189,95.811,63.946,-2.45,5.5,-0.5,5.88453e+06,16.4931,123.9,4.3222,-1.0375,3.05,6,1.7,5.3597,-0.6894,0
2024Q1,2024,1,2024-01-01,2.005,13.717,4.489,95.511,61.119,-0.336,5.9,0.4,5.19679e+06,-11.6873,125.3,3.2976,-1.0246,5.564,5.5,-0.5,4.3222,-1.0375,0
2024Q2,2024,2,2024-04-01,0.836,14.553,4.05,95.95,64.102,1.644,6.5,0.6,5.54017e+06,6.6076,125.567,3.8027,0.5051,8.144,5.9,0.4,3.2976,-1.0246,0
2024Q3,2024,3,2024-07-01,-2.446,12.107,4.745,95.255,63.451,-3.758,5.3,-1.2,5.31674e+06,-4.033,126.467,3.21,-0.5927,1.542,6.5,0.6,3.8027,0.5051,0
2024Q4,2024,4,2024-10-01,0.525,12.632,3.922,96.078,63.27,0.92,5.3,0,6.19544e+06,16.5271,127.067,2.5558,-0.6542,6.22,5.3,-1.2,3.21,-0.5927,0
2025Q1,2025,1,2025-01-01,0.711,13.343,4.275,95.725,63.861,-0.374,5.4,0.1,5.47593e+06,-11.6136,128.1,2.2346,-0.3212,5.026,5.3,0,2.5558,-0.6542,0
2025Q2,2025,2,2025-04-01,1.226,14.569,4.067,95.933,63.744,0.016,5.4,0,5.84178e+06,6.6812,127.267,1.3539,-0.8808,5.416,5.4,0.1,2.2346,-0.3212,0
2025Q3,2025,3,2025-07-01,0.205,14.774,5.332,94.668,60.733,2.667,4,-1.4,5.52867e+06,-5.3599,128.233,1.3969,0.0431,6.667,5.4,0,1.3539,-0.8808,0
2025Q4,2025,4,2025-10-01,-2.823,11.951,4.969,95.031,63.561,-0.681,3,-1,6.38226e+06,15.4393,129.167,1.6527,0.2557,2.319,4,-1.4,1.3969,0.0431,0
